source,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1016/j.matlet.2018.08.006,7.06,3,1.94,0,0,0.06,92.9,0.000246,-3.609064893,0,Zr site,,,Sm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.8,3,1.17,150.3647,62,6.55,15.63,238,95.8
10.1039/c9ta00417c,6.65,2.95,1.75,0.05,0.05,0.25,99.9,0.00072,-3.142667504,1,Combined,Ga,Ba,Ta,61,3,1.81,69.723,31,5.97,29.061,136,62,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.09.005,6.5,2.5,1,0,0.5,1,,0.00015,-3.823908741,0,Combined,,Ba,Ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1039/c2ra01042a,6.5,2.5,1,0,0.5,1,,9E-05,-4.045757491,0,Combined,,Ba,Ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1039/c9ta00417c,6.8,2.95,1.75,0,0.05,0.25,99.7,0.00065,-3.187086643,1,Combined,,Ba,Ta,0,0,0,0,0,0,0,0,0,156,2,0.89,137.3267,56,5.19,13.954,253,142,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,6.05,2.95,1,0,0.05,1,,0.000129,-3.88941029,0,Combined,,Ca,Ta,0,0,0,0,0,0,0,0,0,126,2,1,40.078,20,6.09,2.37,194,112,78,5,1.5,180.9479,73,7.89,31,200,64
10.1039/c7dt01573a,6.3,2.9,1.4,0,0.1,0.6,89,0.00035,-3.455931956,1,Combined,,Ca,Ta,0,0,0,0,0,0,0,0,0,126,2,1,40.078,20,6.09,2.37,194,112,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,6.45,2.95,1.4,0,0.05,0.6,,0.000284,-3.54668166,1,Combined,,Ca,Ta,0,0,0,0,0,0,0,0,0,126,2,1,40.078,20,6.09,2.37,194,112,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jallcom.2018.02.134,6.45,2.95,1.4,0,0.05,0.6,,0.000403,-3.394694954,1,Combined,,Ca,Ta,0,0,0,0,0,0,0,0,0,126,2,1,40.078,20,6.09,2.37,194,112,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,5,3,0,0,0,2,,7.18E-07,-6.143875556,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2012.01.094,5.5,3,0.5,0,0,1.5,,9.3E-05,-4.031517051,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.jpowsour.2012.01.094,6,3,1,0,0,1,,0.00026,-3.585026652,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ssi.2017.11.027,6,3,1,0,0,1,,8.3E-05,-4.080921908,0,Zr site,,,Ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
