source,Publication year,T of the conductivity C,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1021/acsomega.2c06544,,,6.4,3,2,0.2,0,0,90.9,0.000131,-3.882728704,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsomega.2c06544,,,6.4,3,2,0.2,0,0,88.9,7.13E-05,-4.14691047,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsomega.2c06544,,,6.4,3,2,0.2,0,0,93.1,0.000424,-3.372634143,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1021/acsomega.2c06544,,,6.4,3,1.8,0.133,0,0.2,86.9,3.56E-05,-4.448550002,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.8,0.133,0,0.2,93.8,0.000174,-3.759450752,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.8,0.133,0,0.2,89.9,0.000119,-3.924453039,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.8,0.133,0,0.2,95.7,0.000614,-3.211831629,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.6,0.067,0,0.4,87,3.86E-05,-4.413412695,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.6,0.067,0,0.4,92.7,0.000166,-3.779891912,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.6,0.067,0,0.4,89.4,0.00011,-3.958607315,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1021/acsomega.2c06544,,,6.4,3,1.6,0.067,0,0.4,93.7,0.000363,-3.440093375,,Combined,ga,,ta,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
10.1016/j.ceramint.2020.09.047,,,6.52,3,2,0.16,0,0,88,3.37E-05,-4.472370099,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.52,3,2,0.16,0,0,89.7,0.000152,-3.818156412,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.52,3,2,0.16,0,0,91.6,0.0002,-3.698970004,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.52,3,2,0.16,0,0,92.6,0.00019,-3.721246399,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.52,3,2,0.16,0,0,84.8,9.62E-06,-5.016824928,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,84.4,6.67E-06,-5.175874166,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,90,0.00033,-3.48148606,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,81.4,2.76E-06,-5.559090918,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,94.5,0.00149,-2.826813732,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,95.5,0.00103,-2.987162775,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,94.2,0.00134,-2.872895202,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,96.6,0.00103,-2.987162775,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,97.8,0.000361,-3.442492798,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.09.047,,,6.4,3,2,0.2,0,0,96.9,0.000349,-3.457174573,,Li site,ga,,,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1016/j.ceramint.2020.01.106,,,6.5,3,1.5,0,0,0.5,86.7,0.000118,-3.928117993,,Zr site,,,ta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,5,1.5,180.9479,73,7.89,31,200,64
